gen,mean_var_y,mean_h2_true,mean_rg_true,mean_he_h2_full,mean_he_rg_full,mean_he_h2_unrel,mean_he_rg_unrel,n_unrel,scenario,seed
1,1.030160938559684,0.5108207013784093,0.035213872218579925,0.5417376433843785,0.08614874135188352,,,0,5xAM,1
2,1.0474863113697659,0.5209203656596808,0.06896313871468765,0.5860394870581962,0.16558794190733894,,,0,5xAM,1
3,1.0522851830262199,0.5314005665112835,0.08959830583537257,0.6117108143537069,0.21107717264750972,,,0,5xAM,1
4,1.076154735976133,0.5260729568510687,0.10706881465291648,0.6398993118601263,0.24693865027627745,,,0,5xAM,1
5,1.0662988012652639,0.5390872268141406,0.11928037590962252,0.6587763523003284,0.2818408438657071,0.6571027634697699,0.2880185757122402,16000,5xAM,1
0,0.9969123594802605,0.49666903037693777,-0.006515816199449964,0.5020203546503375,-0.007186103315260437,,,0,5xAM,2
1,1.0200666354039742,0.5127236541295164,0.04143532786148308,0.5445048726724736,0.0899857755212602,,,0,5xAM,2
2,1.035955814874532,0.5191118741188692,0.07708035044628228,0.5846243232226801,0.17441040022052445,,,0,5xAM,2
3,1.0477038550025084,0.5227060717667887,0.09661927151043323,0.6010496330267513,0.22299163152375687,,,0,5xAM,2
4,1.0635755124162594,0.5264229512346554,0.11694025674852182,0.6383860937489773,0.2684147959184241,,,0,5xAM,2
5,1.0735313760048841,0.5296146660499643,0.1307548822878176,0.6580122746552204,0.294569465589004,0.6575275019349175,0.2928727976935048,16000,5xAM,2
0,0.9916087829479174,0.49517343751347564,0.003545599360010304,0.5030692496124002,0.0017091655132083737,,,0,5xAM,3
1,1.0092805647802972,0.5076168428149958,0.051581158435163935,0.5343539938873615,0.10865651218043951,,,0,5xAM,3
2,1.0376889371394387,0.5127428275526785,0.08230055265100965,0.577460343264307,0.17990986228603553,,,0,5xAM,3
3,1.043753987526881,0.5225152031985937,0.10575812003138643,0.6090370685213216,0.234815631184897,,,0,5xAM,3
4,1.051813898544945,0.5291769650814986,0.12202089721052645,0.6346059775829712,0.2697888973397889,,,0,5xAM,3
5,1.0606537793115927,0.531041803784205,0.13250162336999935,0.6494425749438759,0.2963092770489991,0.652404626616689,0.3040345188172309,16000,5xAM,3
0,0.9863608822327528,0.49407535690401544,-0.001444685588836251,0.4909859212057402,0.0018582011540704817,,,0,5xAM,4
1,1.0128613225327978,0.5077344486618242,0.04651424240308327,0.5357678934430777,0.09601718726613576,,,0,5xAM,4
2,1.0264125480665374,0.5191440201863039,0.07998882665525778,0.5751206860770287,0.1703260656943789,,,0,5xAM,4
3,1.051580156479432,0.5213892550712915,0.10357086921747165,0.6105880754883186,0.23084651087727437,,,0,5xAM,4
4,1.0712508734105284,0.5229648774395234,0.1201631027744666,0.6442922120714285,0.27140183787731,,,0,5xAM,4
5,1.071204140787467,0.5303925519884596,0.13262882723159883,0.6647536012851504,0.2977538489010091,0.6680752343103136,0.29592034961987324,16000,5xAM,4
0,0.9949226319166365,0.4993850018957085,-0.001126843529250551,0.49716125737327194,0.003093005604534247,,,0,5xAM,5
1,1.0201672938761412,0.5115605511159628,0.044823794789482244,0.5457090373240445,0.09507598739742472,,,0,5xAM,5
2,1.0445748016510854,0.5154710168145148,0.07646571651293739,0.5829355967411187,0.1720715865698612,,,0,5xAM,5
3,1.0581833063198371,0.5244825547133991,0.10280441198549384,0.6200905431761027,0.23732652193001832,,,0,5xAM,5
4,1.0684704762461164,0.5297612686105839,0.11905520359884529,0.6479207624406339,0.26804188528077555,,,0,5xAM,5
5,1.0686304713843136,0.5338019037598171,0.13010607310009475,0.6625363278734464,0.299209245513559,0.660038968649068,0.2994299834368152,16000,5xAM,5
0,1.0011157604736232,0.5005312121777135,-0.006434416832125658,0.5045101083029021,-0.007237087103119232,,,0,5xAM+VT,1
1,1.2057503141719563,0.4289199172222273,0.024144444145987133,0.6145975175201545,0.3203176007596654,,,0,5xAM+VT,1
2,1.2912283859829894,0.4074812626889813,0.04581073348370975,0.6885114584352116,0.44588083332280526,,,0,5xAM+VT,1
3,1.3241433816052925,0.40102334582380117,0.058264531023970154,0.732751484949017,0.49194052406017913,,,0,5xAM+VT,1
4,1.3519080565374275,0.3958391446835955,0.06237359941835176,0.7576433738910591,0.5085626557613849,,,0,5xAM+VT,1
5,1.357957890451258,0.39476833410121703,0.06885794154363246,0.7635109647298662,0.5258916906939308,0.7427456418588951,0.5193277052825174,16000,5xAM+VT,1
0,0.9842518303959442,0.5001354201253749,-0.003546368337798359,0.49316860015087255,-0.011912009424986273,,,0,5xAM+VT,2
1,1.1908346652724109,0.43000661442425087,0.03079600978405973,0.6080851369897334,0.32095244075398394,,,0,5xAM+VT,2
2,1.2892152035150564,0.40447529054030673,0.04840170115624433,0.6855858448471529,0.43559692737798816,,,0,5xAM+VT,2
3,1.327911655572909,0.397367818049999,0.0585595000270391,0.727552813588009,0.4867750218425281,,,0,5xAM+VT,2
4,1.344887947970771,0.39480033429105965,0.06595432510566696,0.7521757411124619,0.5073606992435142,,,0,5xAM+VT,2
5,1.3488473187105392,0.39785065396965813,0.07050932600735574,0.7739144437443596,0.5202118451956184,0.7648754684990837,0.5175332561032437,16000,5xAM+VT,2
0,0.991545147344431,0.49582374384358613,0.0035475841231888683,0.4942497723397274,0.007952684407716104,,,0,5xAM+VT,3
1,1.2012326469599113,0.42247590028395654,0.035588781014935775,0.6091180182872468,0.3264613942500799,,,0,5xAM+VT,3
2,1.2817921547859803,0.4020269157843151,0.053449269203127904,0.682212444234523,0.4482073066521129,,,0,5xAM+VT,3
3,1.3179739215467647,0.39525940522824526,0.06721369661949399,0.7236804582577989,0.49542932669208106,,,0,5xAM+VT,3
4,1.3420228518626383,0.39399814380752096,0.07105188478068239,0.7475841913152586,0.5066882857128915,,,0,5xAM+VT,3
5,1.3636275580453259,0.39076276645886504,0.08102152630311049,0.7809150900096377,0.5394628750449337,0.7817429182528215,0.5347469696458752,16000,5xAM+VT,3
0,0.9836478993034081,0.49694894185485144,-0.0021202380426952705,0.49352104544771935,-0.00570087365041266,,,0,5xAM+VT,4
1,1.1909064856048137,0.4262739454300327,0.031650935665365365,0.6061214270004418,0.3188150842830627,,,0,5xAM+VT,4
2,1.291001817471194,0.40105904738443743,0.05268993545335228,0.6848093471950998,0.4374946039838479,,,0,5xAM+VT,4
3,1.3327187706845396,0.39134557411174975,0.06614700311384906,0.7246226529015465,0.4931942533296246,,,0,5xAM+VT,4
4,1.343073609107351,0.39403784763895894,0.0732843307395786,0.7544688636026081,0.5222209180779169,,,0,5xAM+VT,4
5,1.35609642024303,0.3929017665185722,0.07634115198860503,0.7689985320922976,0.5260075621759591,0.7643821167243994,0.5212346569424212,16000,5xAM+VT,4
0,0.9901414947171843,0.4984297852025524,-0.005960425832575009,0.49505450003004,-0.009198666226221095,,,0,5xAM+VT,5
1,1.1985074178708044,0.42541753624384515,0.02667059032805818,0.6056485538030452,0.31550207821933385,,,0,5xAM+VT,5
2,1.290632501849672,0.4043197765574516,0.04759178054018256,0.682429956833456,0.4339405288580898,,,0,5xAM+VT,5
3,1.3290983343108673,0.3972687555484811,0.06239025994292846,0.7269498551087141,0.4885543164405254,,,0,5xAM+VT,5
4,1.3532990648606673,0.39426322976833295,0.07177534072510515,0.752042392570073,0.5150634425573869,,,0,5xAM+VT,5
5,1.3626763890283928,0.39307535910345875,0.07840722026075393,0.7755556584943666,0.5341987320410814,0.7691983682181383,0.5325394948806557,16000,5xAM+VT,5
