generation,h2_HE_edu,h2_HE_height,h2_HE_wealth,h2_true_edu,R2_edu_from_edu_PGI,R2_edu_from_height_PGI,h2_true_height,R2_height_from_edu_PGI,R2_height_from_height_PGI,h2_true_wealth,R2_wealth_from_edu_PGI,R2_wealth_from_height_PGI,var_edu,var_height,var_wealth,r_score_edu_height,r_score_edu_wealth,r_score_height_wealth,rg_HE_edu_height,rg_HE_edu_wealth,rg_HE_height_wealth,r_beta_edu_height,r_beta_edu_wealth,r_beta_height_wealth,seed
4,0.07755346435141033,0.6749653611500348,0.047035833438502345,0.0029525276126013307,0.013801859649218517,0.04288780669860448,0.6156454502603284,4.410638926823416e-06,0.6164627277827411,0.0,0.0006459967809209963,0.03009874865103489,3.486631863270016,1.0444744401057469,1.521774528434663,-0.00045762442421846847,,,0.7932089628285622,0.9397585206580805,0.8510405290972267,0.723382961171178,0.9025523624712546,0.7370198039177298,2
5,0.08365982871258619,0.6864715101687071,0.04986536411584177,0.0024877441584330003,0.013332908757956603,0.04886712439106055,0.6155239590565629,2.266032648727246e-06,0.6203536273862424,0.0,0.0007009231113610613,0.0336773294223422,4.099522868978257,1.0565941908071763,1.6161816081348246,-0.006519628081811216,,,0.8192100965541212,0.9492334617064462,0.875399644498001,0.755607632218416,0.913697595342401,0.7646476683824053,2
0,0.010037305879702764,0.6073651767142846,0.00040197418083779036,0.009476516810368091,0.009606461263591564,2.1753822188975158e-07,0.6078084801354683,2.550070150302722e-05,0.6076141853340549,0.0,1.2204216751652436e-06,2.1440333216394715e-07,0.998529285215238,1.0108944576269088,0.9970064888067282,0.005765914976766331,,,0.0073130968743755475,0.08752484278252874,-0.02569709447355709,0.003404625305792864,0.01174184438901806,-0.00899907623724311,3
1,0.03837098992286956,0.653396533658895,0.013097114740677297,0.007304550436672063,0.017745376473626454,0.013669079637013136,0.6184364404415927,6.81696803213105e-05,0.6191251959051326,0.0,0.00013776292828973817,0.006662912663677655,1.2871595600322692,1.0476779989121925,1.1343812028777842,0.009843521088642889,,,0.6206059805052614,0.7095521062729011,0.729637166359257,0.5210574732676347,0.6179913666893438,0.4893403623426037,3
2,0.05566724436384693,0.6716043183719462,0.02552213380869221,0.004707695306271299,0.018203505429382462,0.024534089418721657,0.6227461133003734,0.00018605440681198268,0.6222746420896696,0.0,0.0004130771567397699,0.014751268959342475,2.016618114742623,1.0647310565170691,1.2827136309893687,0.01652819204360983,,,0.7042841519693652,0.853020858563011,0.8008220301194856,0.6186388848221134,0.7927596801364548,0.6291099690333386,3
3,0.06715629534559789,0.6816815851132272,0.037214805122916327,0.0033971885704852656,0.015926988788210573,0.034323992161956106,0.6242606030952486,0.0002493402868746467,0.6271466401122358,0.0,0.0005635363905869713,0.023081754704805654,2.7699978690678537,1.0695633291675033,1.411115298152419,0.0170953992330318,,,0.7578478197570143,0.9124924878521175,0.8317743706286739,0.6792067274356927,0.865487854741039,0.6948286231432962,3
4,0.07465378733707573,0.687483272637621,0.04588188160752195,0.0027198132717544147,0.014142287756584528,0.04192559051254584,0.6264375924460249,0.00026731987090171773,0.6286870254503114,0.0,0.0007934079222057481,0.029216704630199694,3.463162627626311,1.073053130974424,1.5205703203558372,0.017073889161651826,,,0.7972304757658566,0.9402211335456458,0.8447696132577035,0.721966349012947,0.8995206312295707,0.7262260835112752,3
5,0.0824035064829378,0.6925630958984337,0.05113949195958191,0.0023443750907473646,0.012777623778640125,0.04885595773897529,0.6306515604214487,0.00020245822516416992,0.6274046741868089,0.0,0.0006658804141276364,0.03411770929672753,4.0369514969440985,1.0745024880211735,1.6084207153132037,0.019845213405167518,,,0.822375586647001,0.9488381899668761,0.8696447350946607,0.7540803920103369,0.913082915972323,0.7573780397738112,3
0,0.00978615513602913,0.5859172541226365,5.231675343578188e-05,0.009863612006916761,0.009834731665771842,7.2067242595651836e-06,0.5861226540384324,0.00023986490417619584,0.5859082008140918,0.0,1.631374369643423e-06,2.9808775832557496e-07,0.9984319424738851,0.9653726985098675,1.003750743794285,0.02218024089333757,,,-0.024960294747753096,-0.394670472314493,0.041225295339557405,-0.021645952257069914,-0.02071599606301081,0.0066343058726075895,4
1,0.040343877578563,0.6408709958484693,0.012882564621385224,0.007589022596298292,0.021137524533316847,0.01381271413586838,0.6009299048585888,0.0008174849805771588,0.6007919609971396,0.0,0.0001744379915366512,0.0073758030892871855,1.2973736515701,1.0034886381105959,1.1461449446547751,0.03325115848997779,,,0.6191987971303413,0.7275562961455458,0.7913830518093651,0.5261260371867353,0.6256315573286076,0.5399978622527095,4
2,0.05862805132350744,0.6533584278835868,0.027717470858462285,0.004858236493158355,0.018955502583502634,0.028188446574228147,0.6068348871353476,0.0011613694825266243,0.6043700471357544,0.0,0.000488037338366976,0.017840466184753597,2.0342311602940715,1.0051445487052817,1.2922964972039224,0.042254098633638555,,,0.7373825134025325,0.8777832804601168,0.8436466822784944,0.6576112459627709,0.8175446718676286,0.6745638568637451,4
3,0.06960043698754227,0.6610107470697169,0.03750820478572486,0.0035159547903275724,0.016997114758616812,0.03810268716123967,0.60635533574562,0.0008857761386741688,0.6053607611687543,0.0,0.0008146890720730875,0.02494861435865903,2.8017996824277205,1.017901616856727,1.4154525648833454,0.036040115653000554,,,0.7888393435470114,0.9164791007989186,0.8626094267401339,0.7127853130025074,0.8697868712354677,0.7252904499299168,4
4,0.07809017770860067,0.673264286123756,0.045643039139386374,0.0028447277837805765,0.01606216010015139,0.0450935164527052,0.6071119504455035,0.0009165907741880622,0.6109609123191277,0.0,0.0012755146329166578,0.030225363691911537,3.477218547425346,1.025443013583448,1.5189527790243904,0.03811410013459991,,,0.8126380540749082,0.9447770997672099,0.8681044959639872,0.7408310240360486,0.9042073548444255,0.7495737418318507,4
5,0.08222754302516425,0.6685386494625104,0.04898292915597122,0.002441949658451956,0.014483738607227065,0.049859486849094026,0.6100553450287874,0.0009846659407164958,0.6083320387666881,0.0,0.0010585194436897273,0.033487014147564394,4.0576570599724935,1.0181430735730501,1.601641059937774,0.04133139027539615,,,0.829568043087371,0.9491197765183799,0.8786748179648831,0.7581843403568501,0.9137150501748903,0.763274933962309,4
0,0.008773733331706774,0.592929785343946,0.0006860637240573304,0.009333129813776313,0.009503502648848828,2.7908697549226057e-08,0.5948688902560123,6.824556062686201e-05,0.5950306609168999,0.0,3.6442821228564843e-06,2.722945241922679e-06,0.9932521108878307,0.9909068256230763,0.9982961006059435,-0.00915111314188402,,,-0.003222132547404269,-0.05626821214956452,0.06921613278501093,-0.0024422977232647094,-0.02378111414143528,0.021390820662751345,5
